['Botswana', 'Black Carbon', 14],
['Brazil', 'Black Carbon', 15],
['Ivory Coast', 'Black Carbon', 31],
['Barbados', 'Black Carbon', 15],
['Costa Rica', 'Black Carbon', 14],
['Sao Tome and Principe', 'Black Carbon', 26],
['Moldova', 'Black Carbon', 68],
['San Marino', 'Black Carbon', 35],
['Chad', 'Black Carbon', 40],
['Ireland', 'Black Carbon', 39],
['Sri Lanka', 'Black Carbon', 17],
['Bhutan', 'Black Carbon', 20],
['Liberia', 'Black Carbon', 25],
['Nepal', 'Black Carbon', 21],
['Romania', 'Black Carbon', 57],
['United Kingdom', 'Black Carbon', 35],
['Zimbabwe', 'Black Carbon', 13],
['Ecuador', 'Black Carbon', 23],
['Namibia', 'Black Carbon', 18],
['Iceland', 'Black Carbon', 49],
['Guinea-Bissau', 'Black Carbon', 23],
['Greece', 'Black Carbon', 47],
['Indonesia', 'Black Carbon', 21],
['Burundi', 'Black Carbon', 16],
['Ukraine', 'Black Carbon', 80],
['Switzerland', 'Black Carbon', 45],
['Israel', 'Black Carbon', 33],
['El Salvador', 'Black Carbon', 14],
['Mauritania', 'Black Carbon', 28],
['Portugal', 'Black Carbon', 21],
['Yemen', 'Black Carbon', 26],
['United Arab Emirates', 'Black Carbon', 28],
['Lebanon', 'Black Carbon', 34],
['Armenia', 'Black Carbon', 69],
['French Polynesia', 'Black Carbon', 9],
['Venezuela', 'Black Carbon', 23],
['Turks and Caicos Islands', 'Black Carbon', 12],
['Benin', 'Black Carbon', 35],
['Peru', 'Black Carbon', 23],
['Haiti', 'Black Carbon', 12],
['Bosnia and Herzegovina', 'Black Carbon', 45],
['Brunei', 'Black Carbon', 22],
['Morocco', 'Black Carbon', 29],
['China', 'Black Carbon', 48],
['Yugoslavia', 'Black Carbon', 50],
['Iran', 'Black Carbon', 36],
['Cyprus', 'Black Carbon', 36],
['Eritrea', 'Black Carbon', 25],
['Spain', 'Black Carbon', 24],
['Honduras', 'Black Carbon', 15],
['New Caledonia', 'Black Carbon', 11],
['Austria', 'Black Carbon', 50],
['Netherlands', 'Black Carbon', 49],
['Rwanda', 'Black Carbon', 15],
['Georgia', 'Black Carbon', 66],
['Cambodia', 'Black Carbon', 23],
['Thailand', 'Black Carbon', 22],
